,Income,MntWines
341,41411.0,37
342,55212.0,1103
343,59292.0,378
344,27190.0,1
345,82623.0,204
346,44300.0,30
347,84835.0,189
348,30372.0,15
349,33181.0,9
350,71113.0,495
351,71952.0,656
352,69759.0,452
353,72099.0,546
354,60000.0,1048
355,38643.0,22
356,50737.0,78
357,68462.0,561
358,65073.0,629
359,46681.0,269
360,78618.0,736
361,62187.0,512
362,28442.0,19
363,37717.0,9
364,51479.0,247
365,54803.0,404
366,79530.0,333
367,31615.0,2
368,72025.0,833
369,52614.0,789
370,35684.0,10
371,48178.0,159
372,29548.0,7
373,63810.0,977
374,38578.0,38
375,46098.0,57
376,22585.0,3
377,30279.0,10
378,66426.0,1043
379,30822.0,3
380,33581.0,11
381,19986.0,3
382,27421.0,43
383,35688.0,73
384,36143.0,12
385,10245.0,4
386,43795.0,314
387,63381.0,571
388,38823.0,70
389,83664.0,866
390,90300.0,594
391,62499.0,140
392,74293.0,375
393,51012.0,102
394,70777.0,554
395,68682.0,919
396,43824.0,96
397,15345.0,5
398,23442.0,2
399,14515.0,6
400,31395.0,23
401,75276.0,610
402,42373.0,67
403,30507.0,65
404,55521.0,416
405,48006.0,23
406,27213.0,19
407,65808.0,155
408,30351.0,14
409,50437.0,370
410,23616.0,4
411,53858.0,407
412,66465.0,1200
413,46923.0,85
414,75072.0,583
415,75865.0,483
416,19789.0,2
417,80134.0,966
418,91065.0,822
419,49505.0,604
420,37401.0,19
421,30096.0,5
422,18492.0,2
423,82584.0,1076
424,93027.0,1285
425,48686.0,10
426,92910.0,551
427,75433.0,800
428,10404.0,2
429,61314.0,378
430,84865.0,1248
431,42387.0,235
432,67309.0,515
433,75236.0,438
434,30015.0,25
435,50943.0,31
436,67272.0,357
437,51529.0,400
438,32011.0,99
439,7500.0,1
440,28691.0,5
441,56223.0,77
442,18100.0,3
443,30279.0,10
444,20130.0,0
445,23295.0,0
446,42618.0,76
447,81246.0,398
448,24027.0,14
449,55707.0,208
450,57959.0,430
451,56796.0,656
452,36230.0,14
453,70829.0,141
454,65991.0,507
455,38988.0,164
456,89572.0,606
457,42207.0,116
458,50300.0,143
459,66664.0,398
460,60597.0,522
461,70165.0,161
462,50520.0,112
463,80124.0,483
464,33183.0,7
465,66582.0,789
466,75261.0,1239
467,31880.0,4
468,53790.0,335
469,49269.0,639
470,61456.0,563
471,37406.0,2
472,56937.0,746
473,38415.0,22
474,20518.0,4
475,62503.0,478
476,41644.0,20
477,55842.0,451
478,62010.0,371
479,41124.0,281
480,38961.0,19
481,37760.0,26
482,32233.0,138
483,43057.0,213
484,83151.0,407
485,78825.0,483
486,65104.0,738
487,60093.0,502
488,14045.0,11
489,28457.0,24
490,78952.0,1170
491,46310.0,185
492,76005.0,983
493,58308.0,691
494,55614.0,504
495,59432.0,317
496,55563.0,29
497,78642.0,1396
498,67911.0,529
499,65275.0,388
500,27203.0,13
501,48330.0,28
502,24279.0,16
503,64355.0,1047
504,50943.0,31
505,53653.0,815
506,65665.0,225
507,81217.0,493
508,34935.0,34
509,61250.0,382
510,39665.0,127
511,60152.0,325
512,48920.0,238
513,89120.0,1168
514,44124.0,284
515,81169.0,1288
516,36443.0,65
517,26095.0,11
518,71367.0,227
519,80184.0,1035
520,30630.0,27
521,73454.0,982
522,42691.0,179
523,70503.0,1379
524,25545.0,32
525,32880.0,8
526,77863.0,881
527,50353.0,141
528,61839.0,1000
529,49154.0,206
530,47682.0,162
531,72679.0,619
532,57954.0,456
533,65316.0,112
534,28567.0,11
535,47352.0,172
536,44931.0,78
537,76982.0,464
538,57247.0,99
539,22944.0,19
540,25315.0,1
541,43638.0,63
542,42710.0,252
543,84169.0,1478
544,54058.0,198
545,24683.0,8
546,85620.0,416
547,47850.0,42
548,19514.0,14
549,27159.0,17
550,39548.0,15
551,21474.0,6
552,60504.0,458
553,22419.0,30
554,81698.0,179
555,43462.0,90
556,54880.0,308
557,79908.0,557
558,15315.0,7
559,87771.0,1492
560,33039.0,30
561,81741.0,249
562,71499.0,465
563,62466.0,129
564,48799.0,174
565,52157.0,189
566,66565.0,747
567,29298.0,6
568,47691.0,14
569,38200.0,12
570,44989.0,98
571,38443.0,32
572,38593.0,51
573,64413.0,200
574,36959.0,25
575,61996.0,1050
576,51287.0,117
577,13260.0,9
578,47472.0,56
579,54603.0,145
580,45207.0,203
581,40689.0,270
582,47821.0,9
583,27450.0,37
584,39453.0,46
585,26850.0,31
586,79800.0,1060
587,61794.0,264
588,53863.0,399
589,24221.0,8
590,39684.0,19
591,92163.0,817
592,69882.0,292
593,33178.0,12
594,59973.0,130
595,17459.0,6
596,23910.0,16
597,42169.0,19
598,26224.0,4
599,31089.0,31
600,30081.0,36
601,62807.0,526
602,72906.0,400
603,61467.0,410
604,49618.0,80
605,21888.0,88
606,42429.0,55
607,26150.0,5
608,30801.0,8
609,81168.0,410
610,26877.0,101
611,45006.0,162
612,18978.0,2
613,22574.0,25
614,48240.0,389
615,45837.0,215
616,35791.0,27
617,162397.0,85
618,54162.0,5
619,30522.0,179
620,54456.0,352
621,31632.0,17
622,72298.0,625
623,36975.0,10
624,72635.0,390
625,13624.0,10
626,84196.0,215
627,70971.0,1001
628,34487.0,19
629,28769.0,41
630,69084.0,1181
631,65488.0,603
632,62466.0,129
633,32218.0,10
634,83917.0,514
635,46102.0,14
636,84574.0,387
637,56181.0,121
638,63120.0,965
639,73691.0,707
640,63381.0,571
641,76140.0,586
642,62859.0,1063
643,45906.0,305
644,77632.0,1200
645,46463.0,163
646,105471.0,1009
647,55282.0,125
648,78710.0,721
649,66886.0,315
650,98777.0,1000
651,29103.0,16
652,67445.0,757
653,50616.0,30
654,49431.0,219
655,153924.0,1
656,61278.0,111
657,26490.0,45
658,73059.0,410
659,46734.0,100
660,56253.0,509
661,19986.0,3
662,58330.0,445
663,25965.0,2
664,14661.0,4
665,18690.0,6
666,45068.0,14
667,21063.0,1
668,29187.0,26
669,54690.0,111
670,59304.0,418
671,59247.0,327
672,66731.0,371
673,77353.0,275
674,52614.0,789
675,26751.0,1
676,81300.0,1004
677,70337.0,187
678,36145.0,56
679,65295.0,365
680,68118.0,595
681,68743.0,1132
682,41039.0,34
683,38946.0,116
684,65777.0,565
685,66476.0,372
686,86857.0,899
687,160803.0,55
688,77845.0,760
689,69476.0,260
690,50611.0,459
691,61209.0,466
692,42315.0,67
693,13084.0,2
694,47570.0,67
695,61923.0,92
696,34824.0,4
697,26518.0,20
698,45938.0,273
699,78468.0,434
700,78901.0,321
701,71427.0,212
702,71022.0,909
703,90247.0,1184
704,41335.0,112
705,71952.0,656
706,35682.0,23
707,43185.0,537
708,66375.0,712
709,35178.0,23
710,25252.0,1
711,55250.0,664
712,33249.0,6
713,58398.0,299
714,50272.0,99
715,76618.0,749
716,87305.0,345
717,25851.0,9
718,58710.0,440
719,45160.0,8
720,74806.0,670
721,59111.0,524
722,18988.0,6
723,72190.0,597
724,7500.0,7
725,44794.0,54
726,80395.0,445
727,75012.0,294
728,56962.0,292
729,89891.0,412
730,35946.0,8
731,53593.0,349
732,66373.0,328
733,45072.0,144
734,89694.0,1126
735,72025.0,967
736,67432.0,432
737,70545.0,138
738,17487.0,0
739,62882.0,509
740,64108.0,948
741,34941.0,39
742,48767.0,28
743,38702.0,13
744,82224.0,307
745,83844.0,901
746,17003.0,2
747,71163.0,283
748,33697.0,4
749,63564.0,769
750,83443.0,518
751,51518.0,350
752,58330.0,445
753,80952.0,778
754,75507.0,709
755,63855.0,359
756,62220.0,799
757,58512.0,895
758,40662.0,40
759,38829.0,76
760,35523.0,11
761,79146.0,245
762,78285.0,647
763,31626.0,39
764,75127.0,203
765,48726.0,138
766,74985.0,587
767,67430.0,595
768,46891.0,43
769,62058.0,301
770,72063.0,180
771,78939.0,794
772,42720.0,392
773,33622.0,39
774,6835.0,107
775,41452.0,13
776,40760.0,70
777,74250.0,680
778,51124.0,26
779,72258.0,522
780,71466.0,412
781,36283.0,6
782,20587.0,2
783,30467.0,1
784,31590.0,6
785,20425.0,4
786,17144.0,18
787,42564.0,324
788,43783.0,327
789,40780.0,229
790,62847.0,521
791,82017.0,184
792,16813.0,4
793,51267.0,183
794,46524.0,31
795,45183.0,219
796,70421.0,479
797,60161.0,584
798,73926.0,627
799,19329.0,24
800,61872.0,330
801,46984.0,19
802,34838.0,28
803,82716.0,606
804,48192.0,1039
805,49681.0,411
806,56850.0,34
807,55267.0,161
808,59666.0,623
809,72504.0,604
810,26872.0,3
811,21359.0,12
812,73170.0,184
813,52750.0,393
814,91820.0,410
815,65968.0,376
816,30772.0,7
817,22507.0,68
818,65685.0,642
819,25804.0,8
820,76412.0,840
821,22063.0,7
822,57091.0,464
823,22419.0,30
824,87771.0,1492
825,78353.0,752
826,93404.0,1279
827,37859.0,22
828,80995.0,860
829,16529.0,3
830,55412.0,10
831,48789.0,351
832,56575.0,421
833,25130.0,2
834,35441.0,25
835,71391.0,336
836,49494.0,191
837,81702.0,563
838,45889.0,31
839,56628.0,479
840,34026.0,18
841,40049.0,91
842,34176.0,5
843,19419.0,2
844,82504.0,362
845,81205.0,724
846,61618.0,605
847,55284.0,547
848,49980.0,104
849,15072.0,8
850,49166.0,224
851,65324.0,384
852,82347.0,556
853,30843.0,24
854,46374.0,408
855,60474.0,265
856,38576.0,34
857,55357.0,374
858,37758.0,27
859,85710.0,600
860,23228.0,13
861,44602.0,167
862,7500.0,0
863,38683.0,46
864,49514.0,88
865,57906.0,243
866,43456.0,275
867,19485.0,6
868,53172.0,121
869,30545.0,4
870,70123.0,1308
871,62450.0,515
872,21675.0,4
873,42395.0,48
874,61346.0,562
875,80812.0,769
876,42835.0,379
877,39922.0,29
878,86424.0,387
879,17117.0,12
880,24762.0,6
881,35797.0,27
882,36627.0,9
883,51111.0,22
884,86857.0,899
885,82072.0,889
886,46231.0,189
887,42243.0,48
888,51195.0,230
889,68092.0,852
890,31814.0,35
891,51390.0,205
892,76630.0,255
893,26868.0,0
894,48948.0,437
895,55260.0,825
896,64090.0,316
897,78331.0,756
898,37087.0,194
899,21846.0,7
900,81320.0,183
901,54137.0,171
902,66825.0,243
903,57100.0,181
904,58917.0,151
905,85072.0,494
906,86429.0,464
907,45684.0,5
908,47889.0,29
909,45921.0,102
910,78420.0,604
911,75114.0,571
912,52278.0,953
913,35641.0,63
914,95529.0,770
915,62820.0,398
916,73113.0,741
917,84169.0,1478
918,42607.0,156
919,74637.0,960
920,46015.0,38
921,72354.0,315
922,39858.0,15
923,34469.0,19
924,83033.0,812
925,24401.0,73
926,77583.0,372
927,74116.0,871
928,74293.0,375
929,68397.0,760
930,79632.0,471
931,46107.0,31
932,64950.0,819
933,25443.0,1
934,75127.0,203
935,32892.0,26
936,71796.0,354
937,67536.0,1253
938,55239.0,371
939,60554.0,588
940,64831.0,480
941,56067.0,517
942,82025.0,267
943,94384.0,1111
944,14906.0,7
945,51563.0,1166
946,57937.0,261
947,68274.0,135
948,39771.0,6
949,67893.0,711
950,27922.0,11
951,52190.0,42
952,44051.0,79
953,42767.0,20
954,46106.0,30
955,16927.0,20
956,59754.0,115
957,53700.0,263
958,59041.0,69
959,54237.0,267
960,70647.0,561
961,52597.0,492
962,41021.0,14
963,40233.0,80
964,50183.0,97
965,54753.0,197
966,92955.0,693
967,33471.0,43
968,34596.0,14
969,44010.0,186
970,84219.0,434
971,40706.0,59
972,15716.0,16
973,59052.0,230
974,80573.0,829
975,83715.0,318
976,82576.0,1206
977,56962.0,292
978,35704.0,30
979,53103.0,729
980,46779.0,12
981,4861.0,2
982,33462.0,22
983,63693.0,587
984,80763.0,674
985,65352.0,284
986,82170.0,1023
987,75759.0,1394
988,79689.0,311
989,35340.0,27
990,85683.0,1296
991,24884.0,3
992,42021.0,393
993,64449.0,218
994,64587.0,66
995,34824.0,4
996,75437.0,795
997,26091.0,15
998,52845.0,384
999,46086.0,244
1000,78028.0,158
1001,95169.0,1285
1002,56337.0,349
1003,22434.0,4
1004,36930.0,223
1005,36130.0,157
1006,65569.0,397
1007,83844.0,901
1008,19514.0,14
1009,36736.0,10
1010,77568.0,1230
1011,49187.0,81
1012,30168.0,154
1013,34053.0,63
1014,38196.0,30
1015,59412.0,90
1016,70924.0,635
1017,54165.0,127
1018,32300.0,13
1019,20180.0,18
1020,34961.0,45
1021,28440.0,38
1022,64504.0,986
1023,33564.0,61
1024,17345.0,4
1025,56320.0,201
1026,28647.0,19
1027,15038.0,4
1028,32173.0,18
1029,68316.0,806
1030,74538.0,380
1031,91700.0,576
1032,68695.0,458
1033,31056.0,5
1034,79593.0,350
1035,28071.0,39
1036,37334.0,26
1037,46423.0,68
1038,37126.0,45
1039,47703.0,359
1040,61180.0,403
1041,38998.0,34
1042,8028.0,73
1043,76081.0,292
1044,34728.0,14
1045,33168.0,80
1046,33585.0,30
1047,77037.0,463
1048,35196.0,75
1049,44529.0,538
1050,70924.0,635
1051,28764.0,8
1052,69098.0,1315
1053,25959.0,4
1054,27100.0,12
1055,70596.0,347
1056,42557.0,192
1057,53312.0,241
1058,72228.0,631
1059,67605.0,336
1060,62845.0,1099
1061,65196.0,743
1062,42000.0,124
1063,35860.0,15
1064,65526.0,397
1065,16860.0,10
1066,83528.0,530
1067,64176.0,1215
1068,22304.0,3
1069,67023.0,444
1070,32892.0,26
1071,70713.0,736
1072,59925.0,473
1073,39722.0,32
1074,46610.0,288
1075,88347.0,1050
1076,87171.0,1001
1077,26907.0,9
1078,50014.0,234
1079,41014.0,7
1080,66294.0,251
1081,36715.0,172
1082,79456.0,565
1083,40479.0,5
1084,75345.0,918
1085,54233.0,652
1086,24163.0,4
1087,84460.0,152
1088,43776.0,8
1089,71691.0,336
1090,85844.0,938
1091,39190.0,68
1092,71367.0,227
1093,38578.0,38
1094,57236.0,105
1095,61825.0,162
1096,79803.0,574
1097,80910.0,160
1098,27590.0,6
1099,56775.0,614
1100,83829.0,897
1101,54210.0,70
1102,38508.0,120
1103,53187.0,211
1104,30023.0,11
1105,76045.0,760
1106,50870.0,53
1107,15315.0,7
1108,65463.0,391
1109,66480.0,199
1110,76773.0,516
1111,81698.0,709
1112,54466.0,12
1113,98777.0,1000
1114,16269.0,19
1115,71819.0,1224
1116,33569.0,16
1117,36262.0,88
1118,22634.0,2
1119,47025.0,508
1120,70566.0,381
1121,31605.0,74
1122,52034.0,146
1123,48526.0,23
1124,46734.0,110
1125,39552.0,165
1126,86358.0,957
1127,46931.0,41
1128,16581.0,1
1129,63998.0,176
1130,67381.0,815
1131,25930.0,6
1132,42693.0,8
1133,85606.0,717
1134,72903.0,1067
1135,49669.0,166
1136,36778.0,29
1137,85696.0,714
1138,10979.0,8
1139,49678.0,229
1140,56129.0,320
1141,37155.0,23
1142,21282.0,1
1143,33419.0,56
1144,63285.0,508
1145,21255.0,29
1146,42162.0,46
1147,54450.0,454
1148,57744.0,350
1149,26576.0,10
1150,57513.0,735
1151,68142.0,897
1152,7500.0,5
1153,83145.0,777
1154,54197.0,162
1155,23091.0,35
1156,46049.0,342
1157,56715.0,258
1158,79410.0,658
1159,57304.0,356
1160,44375.0,213
1161,54450.0,454
1162,59594.0,457
1163,80685.0,241
1164,40344.0,210
1165,62710.0,441
1166,48985.0,19
1167,35322.0,28
1168,77142.0,476
1169,81657.0,364
1170,14421.0,0
1171,20130.0,0
1172,74214.0,863
1173,66726.0,349
1174,23724.0,5
1175,47353.0,184
1176,33444.0,8
1177,54386.0,277
1178,28510.0,44
1179,90638.0,1156
1180,48070.0,373
1181,43140.0,134
1182,54959.0,1148
1183,15056.0,6
1184,26954.0,4
1185,22327.0,5
1186,44393.0,24
1187,62000.0,899
1188,31497.0,108
1189,45894.0,27
1190,78579.0,816
1191,67369.0,1298
1192,58401.0,10
1193,62307.0,87
1194,43641.0,57
1195,63841.0,635
1196,46891.0,43
1197,70091.0,964
1198,78075.0,572
1199,59184.0,341
1200,54809.0,63
1201,58113.0,221
1202,51412.0,140
1203,15287.0,1
1204,66636.0,291
1205,50965.0,544
1206,84618.0,684
1207,18351.0,1
1208,40451.0,35
1209,36317.0,87
1210,42213.0,309
1211,65748.0,172
1212,77044.0,625
1213,74918.0,972
1214,56721.0,157
1215,42160.0,48
1216,61559.0,279
1217,33629.0,132
1218,68682.0,919
1219,34377.0,62
1220,8940.0,1
1221,26228.0,2
1222,77297.0,408
1223,40211.0,51
1224,33438.0,62
1225,75032.0,952
1226,61284.0,618
1227,22518.0,11
1228,54730.0,318
1229,38452.0,56
1230,44421.0,110
1231,38197.0,23
1232,41986.0,27
1233,28427.0,18
1234,37395.0,18
1235,64722.0,303
1236,55249.0,97
1237,84906.0,997
1238,28691.0,5
1239,44213.0,95
1240,25707.0,1
1241,59062.0,46
1242,76624.0,411
1243,66000.0,244
1244,27683.0,152
1245,1730.0,1
1246,7500.0,10
1247,40521.0,12
1248,20427.0,5
1249,65106.0,790
1250,69969.0,882
1251,67433.0,615
1252,77766.0,1004
1253,74716.0,133
1254,68118.0,595
1255,55158.0,293
1256,62972.0,313
1257,74190.0,151
1258,39356.0,15
1259,76653.0,736
1260,35860.0,15
1261,90687.0,982
1262,73450.0,1142
1263,31454.0,28
1264,47139.0,46
1265,83829.0,897
1266,53378.0,489
1267,19656.0,25
1268,45579.0,145
1269,85485.0,630
1270,55956.0,760
1271,64191.0,420
1272,38808.0,125
1273,57183.0,464
1274,23748.0,6
1275,66303.0,1090
1276,37368.0,3
1277,40800.0,24
1278,71847.0,737
1279,46149.0,254
1280,78687.0,817
1281,49118.0,620
1282,37633.0,13
1283,39767.0,113
1284,26997.0,7
1285,33986.0,16
1286,57091.0,462
1287,46831.0,22
1288,83151.0,968
1289,52531.0,283
1290,15759.0,1
1291,22804.0,14
1292,43050.0,30
1293,42997.0,4
1294,48918.0,52
1295,60033.0,62
1296,34043.0,20
1297,57811.0,545
1298,78569.0,558
1299,7500.0,6
1300,157733.0,39
1301,94384.0,1111
1302,23148.0,4
1303,44267.0,183
1304,71626.0,546
1305,60894.0,606
1306,50200.0,266
1307,81051.0,1142
1308,65169.0,1074
1309,59868.0,771
1310,65695.0,371
1311,64857.0,556
1312,45143.0,202
1313,74805.0,209
1314,59060.0,35
1315,27238.0,37
1316,47009.0,171
1317,46094.0,12
1318,40321.0,44
1319,37235.0,20
1320,81843.0,779
1321,46692.0,170
1322,77382.0,491
1323,37774.0,173
1324,18393.0,7
1325,72828.0,1205
1326,24711.0,10
1327,45503.0,97
1328,6560.0,67
1329,71604.0,345
1330,27244.0,6
1331,48752.0,73
1332,71434.0,711
1333,90842.0,774
1334,88097.0,163
1335,51948.0,82
1336,71853.0,358
1337,35876.0,66
1338,40049.0,13
1339,39660.0,139
1340,50127.0,274
1341,43263.0,262
1342,62845.0,1099
1343,18929.0,32
1344,24367.0,2
1345,33249.0,6
1346,26887.0,6
1347,50150.0,135
1348,62061.0,641
1349,85696.0,714
1350,76542.0,794
1351,70515.0,420
1352,18227.0,1
1353,69139.0,86
1354,69109.0,823
1355,69627.0,231
1356,38136.0,8
1357,62159.0,182
1358,80695.0,557
1359,33316.0,79
1360,58554.0,368
1361,17256.0,6
1362,53034.0,160
1363,52203.0,488
1364,59601.0,691
1365,75154.0,543
1366,47025.0,254
1367,37971.0,5
1368,41335.0,112
1369,67267.0,134
1370,57338.0,143
1371,50523.0,51
1372,35791.0,27
1373,50611.0,459
1374,56242.0,689
1375,48904.0,283
1376,56243.0,347
1377,21355.0,5
1378,57420.0,280
1380,46390.0,95
1381,54342.0,84
1384,20895.0,18
1385,92344.0,992
1387,26907.0,9
1388,44964.0,19
1389,75507.0,709
1390,53761.0,158
1391,22682.0,10
1392,38887.0,25
1393,41658.0,8
1394,29791.0,14
1395,63915.0,622
1396,39996.0,11
1397,26759.0,25
1398,63841.0,635
1399,51039.0,100
1400,60544.0,201
1401,65685.0,642
1402,37716.0,97
1403,36864.0,204
1404,44511.0,513
1405,36947.0,88
1406,47352.0,172
1407,67087.0,329
1408,57045.0,296
1409,36957.0,100
1410,69389.0,422
1411,80134.0,1218
1412,43142.0,5
1413,80589.0,507
1414,34412.0,52
1415,57537.0,191
1416,22634.0,2
1417,51315.0,68
1418,36026.0,20
1419,24639.0,20
1420,34578.0,7
1421,65704.0,279
1422,63810.0,977
1423,54132.0,30
1424,18690.0,6
1425,28164.0,3
1426,34596.0,14
1427,43269.0,10
1428,38741.0,7
1429,31907.0,33
1430,27100.0,12
1431,31163.0,2
1432,92533.0,693
1433,34853.0,9
1434,70844.0,129
1435,31086.0,16
1436,60544.0,201
1437,20491.0,5
1438,42523.0,14
1439,39922.0,29
1440,33402.0,26
1441,36408.0,9
1442,21645.0,14
1443,78427.0,972
1444,82657.0,966
1445,51876.0,99
1446,78041.0,482
1447,52852.0,714
1448,70038.0,587
1449,69401.0,399
1450,46053.0,56
1451,77343.0,227
1452,73892.0,703
1453,40304.0,37
1454,32727.0,167
1455,68695.0,458
1456,43300.0,91
1457,26290.0,15
1458,93790.0,1302
1459,38410.0,153
1460,64866.0,508
1461,57957.0,290
1462,46015.0,38
1463,16531.0,2
1464,28072.0,30
1465,49476.0,386
1466,50725.0,443
1467,83844.0,901
1468,41145.0,9
1469,67419.0,846
1470,23162.0,8
1471,34380.0,72
1472,34704.0,29
1473,94871.0,169
1474,65148.0,460
1475,39898.0,69
1476,64857.0,556
1477,59892.0,73
1478,41020.0,112
1479,57072.0,944
1480,60474.0,265
1481,62807.0,526
1482,19414.0,2
1483,19107.0,2
1484,75484.0,378
1485,70379.0,553
1486,79419.0,751
1487,64014.0,406
1488,76998.0,1449
1489,49854.0,123
1490,60585.0,267
1491,42873.0,209
1492,87679.0,1259
1493,57867.0,344
1494,35765.0,22
1495,65492.0,247
1496,32952.0,38
1497,53374.0,896
1498,71706.0,931
1499,68487.0,758
1500,53253.0,216
1501,31163.0,2
1502,42014.0,244
1503,54108.0,539
1504,49667.0,1181
1505,63206.0,750
